dataset_name,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,eval_samples,model_name,problem_type,batch_size,problem_description,label,eval_exact_match
german-ler,0.025341182947158813,0.0,0.0,0.0,0.996068090537142,7.6151,157.582,19.698,1.0,1200,bert-german,token_classification,4,,,
german-europarl,0.005166445393115282,0.0,0.0,0.0,0.9985370168753402,4.0836,293.86,36.733,1.0,1200,gpt2-wechsel-german,token_classification,4,,,
germeval17,1.1866761445999146,,,,0.6551052331924438,10.7325,239.088,29.909,1.0,2566,bert-german,classification,2,single_label_classification,sentiment,
germeval18,0.35700035095214844,,,,0.9067098498344421,24.8055,136.986,17.133,1.0,3398,gpt2-wechsel-german,classification,2,single_label_classification,multi,
gnad10,0.5409115552902222,,,,0.8793774247169495,4.3411,236.806,29.716,1.0,1028,gpt2-wechsel-german,classification,2,single_label_classification,label,
germeval18,0.35625243186950684,,,,0.8952324986457825,13.5999,249.854,31.25,1.0,3398,bert-german,classification,2,single_label_classification,multi,
germeval17,0.6496293544769287,,,,0.7724084258079529,132.346,19.389,2.425,1.0,2566,bloom-1b7-german,classification,4,single_label_classification,sentiment,
germeval18,0.3572913408279419,,,,0.8864037394523621,192.5327,17.649,2.207,1.0,3398,bloom-1b7-german,classification,4,single_label_classification,multi,
german-quad,,,,59.36371998958213,,15.6752,242.612,30.366,1.0,3803,bert-german,question_answering,64,,,39.6551724137931
german-ler,0.06744823604822159,0.6255333674688514,0.7268940896469654,0.6724153747362627,0.9816693161515412,19.5781,340.483,42.599,1.0,6666,gpt2-wechsel-german,token_classification,64,,,
gnad10,0.44243910908699036,,,,0.9036964774131775,53.1273,19.35,2.428,1.0,1028,gpt2-xl-german,classification,4,single_label_classification,label,
germeval17,0.726986825466156,,,,0.8043647408485413,18.0062,142.506,17.827,1.0,2566,gpt2-wechsel-german,classification,2,single_label_classification,sentiment,
germeval17,0.6496293544769287,,,,0.7624084258079529,53.1273,19.35,2.428,1.0,1028,gpt2-xl-german,classification,4,single_label_classification,label,
german-ler,0.0435725636780262,0.0,0.0,0.0,0.988506393933852,7.6151,157.582,19.698,1.0,1200,gpt2-xl-german,token_classification,4,,,
german-europarl,0.007036093580326557,0.0,0.0,0.0,0.9972781709308656,7.6151,157.582,19.698,1.0,1200,gpt2-xl-german,token_classification,4,,,
germeval18,0.006885484326630831,,,,0.9997057318687439,53.1273,19.35,2.428,1.0,1028,gpt2-xl-german,classification,4,single_label_classification,label,
german-ler,0.06722867488861084,0.0,0.0,0.0,0.9888346486970631,7.6151,157.582,19.698,1.0,1200,gpt2-wechsel-german,token_classification,4,,,
gnad10,0.4325055181980133,,,,0.8949416279792786,53.1273,19.35,2.428,1.0,1028,bloom-1b7-german,classification,4,single_label_classification,label,
german-ler,0.04179849475622177,0.7368607326136967,0.8258627528758429,0.7788272701767511,0.9876247954269423,85.9896,77.521,9.699,1.0,6666,bloom-1b7-german,token_classification,4,,,
german-europarl,0.008036096580326557,0.0,0.0,0.0,0.9994216113228089,7.6151,157.582,19.698,1.0,1200,bert-german,token_classification,4,,,
german-europarl,0.0012454296229407191,0.0,0.0,0.0,0.9994216113228089,7.6151,157.582,19.698,1.0,1200,bloom-1b7-german,token_classification,4,,,
german-europarl,0.0012454296229407191,0.0,0.0,0.0,0.9994216113228089,7.7013,155.818,19.477,1.0,1200,bloom-1b7-german,token_classification,4,,,
gnad10,0.42594459652900696,,,,0.911478579044342,53.1273,19.35,2.428,1.0,1028,bert-german,classification,4,single_label_classification,label,
